x,y,timestamp,encoder_1_deg,encoder_2_deg
407,398,331,50.89,72.86
406,398,346,50.89,72.86
406,397,362,50.89,72.86
407,397,378,50.98,72.77
409,397,395,50.98,72.77
410,398,412,50.98,72.77
411,398,427,50.98,72.77
413,399,445,50.98,72.77
414,401,462,50.98,72.77
415,403,479,51.06,72.69
416,405,493,51.06,72.69
417,407,510,51.06,72.69
417,411,528,51.06,72.69
417,414,544,51.06,72.69
417,417,559,51.06,72.69
417,419,574,51.33,72.42
419,421,592,51.33,72.42
419,425,608,51.33,72.42
417,429,627,51.33,72.42
417,432,643,51.33,72.42
414,434,660,51.33,72.42
412,437,677,52.03,72.25
410,438,692,52.03,72.25
406,441,708,52.03,72.25
402,442,724,52.03,72.25
396,444,741,52.03,72.25
390,446,758,52.03,72.25
384,446,774,52.47,71.89
379,446,792,52.47,71.89
375,446,809,52.47,71.89
370,442,825,52.47,71.89
366,441,841,52.47,71.89
362,437,858,52.47,71.89
357,434,874,52.47,72.07
353,430,889,52.47,72.07
349,426,907,52.47,72.07
345,423,923,52.47,72.07
341,419,939,52.47,72.07
338,415,957,52.47,72.07
334,411,973,52.47,72.07
332,406,989,52.38,72.33
329,402,1007,52.38,72.33
327,398,1023,52.38,72.33
326,394,1038,52.38,72.33
324,388,1055,52.38,72.33
323,382,1070,52.38,72.33
322,375,1087,51.68,72.51
322,366,1104,51.68,72.51
323,358,1121,51.68,72.51
324,354,1137,51.68,72.51
326,349,1153,51.68,72.51
327,343,1169,51.68,72.51
330,338,1186,50.36,72.77
333,334,1202,50.36,72.77
337,329,1219,50.36,72.77
341,325,1235,50.36,72.77
346,321,1252,50.36,72.77
352,318,1269,50.36,72.77
360,313,1285,49.57,73.04
366,310,1302,49.57,73.04
371,307,1318,49.57,73.04
377,306,1335,49.57,73.04
383,304,1352,49.57,73.04
388,304,1369,49.57,73.04
394,304,1385,49.13,72.77
403,305,1401,49.13,72.77
411,306,1418,49.13,72.77
421,307,1434,49.13,72.77
430,307,1452,49.13,72.77
438,307,1469,49.13,72.77
446,308,1484,49.13,72.25
456,308,1502,49.13,72.25
466,308,1518,49.13,72.25
473,310,1535,49.13,72.25
484,311,1552,49.13,72.25
492,314,1568,49.13,72.25
496,317,1585,49.13,72.25
498,318,1600,49.22,71.37
503,322,1616,49.22,71.37
513,330,1632,49.22,71.37
518,334,1653,49.22,71.37
522,339,1666,49.22,71.37
530,351,1684,49.22,71.37
536,363,1701,50.10,70.58
538,372,1717,50.10,70.58
540,381,1734,50.10,70.58
540,391,1751,50.10,70.58
539,398,1766,50.10,70.58
538,414,1783,50.10,70.58
534,426,1799,52.38,69.79
530,438,1816,52.38,69.79
526,452,1833,52.38,69.79
523,461,1847,52.38,69.79
514,480,1866,52.38,69.79
506,494,1881,52.38,69.79
498,507,1898,55.46,69.26
491,519,1915,55.46,69.26
482,530,1932,55.46,69.26
473,541,1949,55.46,69.26
462,550,1966,55.46,69.26
450,560,1982,55.46,69.26
438,568,1999,58.27,69.08
425,574,2016,58.27,69.08
412,579,2032,58.27,69.08
398,583,2048,58.27,69.08
384,586,2064,58.27,69.08
370,588,2081,58.27,69.08
357,588,2098,59.33,69.17
345,587,2115,59.33,69.17
332,585,2132,59.33,69.17
321,582,2147,59.33,69.17
309,579,2164,59.33,69.17
298,576,2181,59.33,69.17
287,571,2198,59.33,69.61
278,566,2214,59.33,69.61
268,560,2230,59.33,69.61
258,554,2248,59.33,69.61
249,546,2265,59.33,69.61
244,542,2279,59.33,69.61
235,534,2295,59.24,70.14
229,526,2311,59.24,70.14
222,516,2328,59.24,70.14
216,506,2344,59.24,70.14
211,496,2360,59.24,70.14
208,485,2377,59.24,70.14
205,473,2393,59.24,70.14
202,462,2411,57.30,70.93
200,451,2427,57.30,70.93
199,438,2443,57.30,70.93
199,426,2460,57.30,70.93
201,414,2478,57.30,70.93
202,402,2493,57.30,70.93
203,394,2509,54.49,70.22
206,382,2526,54.49,70.22
209,370,2542,54.49,70.22
214,357,2559,54.49,70.22
219,341,2580,54.49,70.22
222,333,2593,54.49,70.22
227,321,2610,51.50,72.60
233,310,2626,51.50,72.60
239,299,2641,51.50,72.60
245,289,2659,51.50,72.60
251,278,2674,51.50,72.60
258,269,2693,51.50,72.60
265,259,2709,48.96,74.09
272,251,2726,48.96,74.09
279,243,2743,48.96,74.09
284,238,2759,48.96,74.09
292,232,2774,48.96,74.09
302,225,2792,48.96,74.09
307,221,2808,47.29,74.44
315,215,2824,47.29,74.44
323,209,2840,47.29,74.44
330,206,2855,47.29,74.44
338,202,2873,47.29,74.44
